Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV
2019-05-13,4300.0,4337.5,4250.0,4250.0,3763.22900390625,20710000,87.5,-50.0,4392.857142857143,4607.142857142857,4687.5,131.07272608674478
2019-05-14,4225.0,4275.0,4125.0,4225.0,3741.09228515625,68445400,150.0,0.0,4335.714285714285,4558.928571428572,4657.738095238095,95.31432960773992
2019-05-15,4237.5,4237.5,4062.5,4112.5,3641.477294921875,90706000,175.0,-125.0,4289.285714285715,4502.678571428572,4624.4047619047615,114.66176969056882
2019-05-16,4100.0,4175.0,4037.5,4087.5,3619.340576171875,36448400,137.5,-12.5,4233.928571428572,4451.785714285715,4588.690476190476,103.00543212676128
2019-05-17,4237.5,4237.5,4025.0,4050.0,3586.135986328125,61447200,212.5,-187.5,4187.5,4396.428571428572,4551.785714285715,102.06207261597498
2019-05-20,4050.0,4225.0,3912.5,4212.5,3730.02392578125,43655000,312.5,162.5,4176.785714285715,4353.571428571428,4521.428571428572,93.38221509066918
2019-05-21,4225.0,4300.0,4187.5,4300.0,3807.50244140625,78310800,112.5,75.0,4176.785714285715,4317.857142857143,4491.666666666667,93.38221509066918
2019-05-22,4150.0,4237.5,4137.5,4150.0,3762.752685546875,40857000,100.0,0.0,4162.5,4277.678571428572,4458.928571428572,87.79711460711711
2019-05-23,4137.5,4300.0,4137.5,4250.0,3853.42138671875,43215600,162.5,112.5,4166.071428571428,4250.892857142857,4427.976190476191,91.20555016529586
2019-05-24,4237.5,4400.0,4237.5,4325.0,3921.4228515625,48374800,162.5,87.5,4196.428571428572,4242.857142857143,4400.5952380952385,104.76021373094959
2019-05-27,4325.0,4412.5,4325.0,4350.0,3944.090087890625,32246800,87.5,25.0,4233.928571428572,4233.928571428572,4379.166666666667,106.24124613799547
2019-05-28,4325.0,4325.0,4050.0,4075.0,3694.750732421875,222512000,275.0,-250.0,4237.5,4212.5,4343.452380952381,99.21567416493093
2019-05-29,4075.0,4112.5,4012.5,4075.0,3694.750732421875,78292800,100.0,0.0,4217.857142857143,4197.321428571428,4308.333333333333,117.00630833625162
2019-05-31,4100.0,4212.5,4100.0,4200.0,3808.0869140625,89160800,112.5,100.0,4203.571428571428,4190.178571428572,4279.761904761905,111.2697280528456
2019-06-10,4287.5,4362.5,4275.0,4337.5,3932.75634765625,101675200,87.5,50.0,4230.357142857143,4196.428571428572,4261.9047619047615,118.55403630333005
2019-06-11,4300.0,4337.5,4237.5,4287.5,3887.421875,44879800,100.0,-12.5,4235.714285714285,4200.892857142857,4245.833333333333,120.42212460856125
2019-06-12,4275.0,4325.0,4262.5,4300.0,3898.755859375,39229000,62.5,25.0,4232.142857142857,4214.285714285715,4239.285714285715,117.67211305350965
2019-06-13,4300.0,4337.5,4262.5,4325.0,3921.4228515625,54401400,75.0,25.0,4228.571428571428,4231.25,4232.142857142857,113.81506511714882
2019-06-14,4300.0,4325.0,4225.0,4250.0,3853.42138671875,40394600,100.0,-50.0,4253.571428571428,4245.535714285715,4226.190476190476,91.49063183893415
2019-06-17,4250.0,4262.5,4212.5,4225.0,3830.754150390625,21955800,50.0,-25.0,4275.0,4246.428571428572,4223.214285714285,51.53882032023611
2019-06-18,4250.0,4375.0,4225.0,4362.5,3955.424072265625,62706200,150.0,112.5,4298.214285714285,4250.892857142857,4226.190476190476,48.64228025671623
2019-06-19,4412.5,4512.5,4412.5,4450.0,4034.75830078125,79746600,100.0,37.5,4314.285714285715,4272.321428571428,4235.714285714285,75.14866218751258
2019-06-20,4500.0,4500.0,4362.5,4400.0,3989.42431640625,54402200,137.5,-100.0,4330.357142857143,4283.035714285715,4244.047619047619,80.31745051446951
2019-06-21,4437.5,4450.0,4400.0,4425.0,4012.091552734375,51525600,50.0,-12.5,4348.214285714285,4290.178571428572,4258.928571428572,86.12871043912195
2019-06-24,4450.0,4487.5,4400.0,4437.5,4023.42529296875,32097800,87.5,-12.5,4364.285714285715,4296.428571428572,4275.5952380952385,91.40927065624179
2019-06-25,4475.0,4487.5,4450.0,4462.5,4046.092529296875,18337600,37.5,-12.5,4394.642857142857,4324.107142857143,4295.238095238095,81.92258250208383
2019-06-26,4462.5,4475.0,4425.0,4425.0,4012.091552734375,28871200,50.0,-37.5,4423.214285714285,4349.107142857143,4305.357142857143,33.40765523906945
2019-06-27,4475.0,4475.0,4437.5,4450.0,4034.75830078125,18194800,37.5,-25.0,4435.714285714285,4366.964285714285,4312.5,20.952042746213337
2019-06-28,4462.5,4612.5,4450.0,4600.0,4170.76220703125,81840600,162.5,137.5,4457.142857142857,4385.714285714285,4333.928571428572,66.08751412945193
2019-07-01,4650.0,4725.0,4650.0,4687.5,4250.0966796875,56506600,75.0,37.5,4498.214285714285,4414.285714285715,4354.761904761905,103.43792709594285
2019-07-02,4675.0,4687.5,4637.5,4675.0,4238.763671875,33067800,50.0,0.0,4533.928571428572,4441.071428571428,4371.428571428572,116.3047106281016
2019-07-03,4675.0,4675.0,4625.0,4662.5,4227.4296875,34549000,50.0,-12.5,4566.071428571428,4465.178571428572,4386.309523809524,116.30471062810133
2019-07-04,4662.5,4700.0,4650.0,4687.5,4250.0966796875,24270400,50.0,25.0,4598.214285714285,4496.428571428572,4415.476190476191,113.97838140880954
2019-07-05,4637.5,4662.5,4550.0,4600.0,4170.76220703125,40019800,112.5,-37.5,4623.214285714285,4523.214285714285,4440.476190476191,85.21681032463819
2019-07-08,4537.5,4587.5,4475.0,4487.5,4068.759521484375,39037200,112.5,-50.0,4628.571428571428,4532.142857142857,4454.166666666667,72.78474460777923
2019-07-09,4487.5,4587.5,4487.5,4575.0,4148.09423828125,21892000,100.0,87.5,4625.0,4541.071428571428,4465.476190476191,75.00000000000405
2019-07-10,4562.5,4625.0,4562.5,4575.0,4148.09423828125,34132000,62.5,12.5,4608.928571428572,4553.571428571428,4479.166666666667,71.33922984085504
2019-07-11,4600.0,4637.5,4575.0,4625.0,4193.42919921875,27475200,62.5,25.0,4601.785714285715,4567.857142857143,4494.642857142857,65.91841999956253
2019-07-12,4600.0,4625.0,4575.0,4600.0,4170.76220703125,27073600,50.0,0.0,4592.857142857143,4579.464285714285,4507.738095238095,60.31909197877149
2019-07-15,4625.0,4662.5,4587.5,4587.5,4159.42822265625,39008200,75.0,-37.5,4578.571428571428,4588.392857142857,4523.809523809524,43.728736329249564
2019-07-16,4587.5,4600.0,4525.0,4537.5,4114.09375,34469200,75.0,-50.0,4569.642857142857,4596.428571428572,4538.690476190476,44.98677054212926
2019-07-17,4487.5,4537.5,4487.5,4525.0,4102.76025390625,21264800,50.0,37.5,4575.0,4601.785714285715,4546.428571428572,34.61093276216818
2019-07-18,4525.0,4537.5,4425.0,4437.5,4023.42529296875,39663600,112.5,-87.5,4555.357142857143,4590.178571428572,4545.833333333333,62.440447818783525
2019-07-19,4437.5,4487.5,4425.0,4450.0,4034.75830078125,29465600,62.5,12.5,4537.5,4573.214285714285,4548.214285714285,72.88689868557141
2019-07-22,4437.5,4475.0,4387.5,4425.0,4012.091552734375,29243600,87.5,-12.5,4508.928571428572,4555.357142857143,4548.214285714285,72.0656116393471
2019-07-23,4450.0,4462.5,4312.5,4312.5,3910.0888671875,82475600,150.0,-137.5,4467.857142857143,4530.357142857143,4542.261904761905,90.96048330901961
2019-07-24,4275.0,4287.5,4212.5,4212.5,3819.420654296875,86821600,75.0,-62.5,4414.285714285715,4496.428571428572,4530.357142857143,115.79178768478855
2019-07-25,4212.5,4262.5,4212.5,4250.0,3853.42138671875,64678600,50.0,37.5,4373.214285714285,4471.428571428572,4522.023809523809,115.79178768478916
